Enter Solana address: Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96


Portfolio Value (USD): $30,182,290.42
Portfolio Value (SOL): 182,072.8062


Token    Balance                    Price          Value
-------  -------------------------  -------------  --------------
SOL      2.5262914                  $165.77        $418.78

FLIP     8,279,983,896,955,457,771  $0.0036449286  $30,179,949.86
USDC     1,811,010,001              $1.00          $1,811.05
USDT     65,777,134                 $0.99992       $65.77
$WIF     40,501,110                 $0.606672      $24.57
BONK     70,112,557,984             $1.56407e-05   $10.97
HNT      122,290,161                $3.42          $4.18
EKS      110,000,000,000            $0.025305085   $2.78
WBTC     1,634                      $95,252.98     $1.56
MOBILE   1,204,941,004              $0.000570481   $0.69
LAIKA    4,637,032,892              $3.91276e-05   $0.18
COPE     1,111,944                  $0.00952813    $0.01
ORCA     4,122                      $1.90          $0.01
RAY      1,757                      $4.35          $0.01
PUKA     1,000,000                  $1.81307e-05   $0.00
PRINT    103                        $9.92353e-06   $0.00
LEIA     1,980,620                  $2.64686e-05   $0.00
$GEM     866,761,000                $3.48378e-08   $0.00
$MYRO    19,410,302                 $0.016650058   $0.00
PYTH     3,081                      $0.196369      $0.00
ATLAS    14,794                     $0.0016881973  $0.00
SAIL     20,100                     $0.00434436    $0.00
SAMO     167,617                    $0.0038237784  $0.00
SHDW     3,071                      $0.27836984    $0.00
POVT     23,000,000                 $1.5283e-05    $0.00
